latitude,longitude,freeboard,segment_length,Thickness (m)
-71.65642112,-40.07374049,0.29,14.828027,1.12
-71.65648652,-40.07376735,0.26,15.533996,1.01
-71.65655336,-40.07379484,0.29,14.828385,1.12
-71.65661204,-40.07381896,0.32,14.121925,1.23
-71.65667466,-40.07384473,0.31,13.416174,1.19
-71.65672939,-40.07386739,0.25,14.122711,0.97
-71.65679865,-40.0738962,0.25,14.833367,0.97
-71.65685386,-40.0739192,0.24,13.416124,0.94
-71.65691048,-40.0739428,0.23,13.415117,0.9
-71.65696622,-40.07396604,0.25,13.418175,0.97
-71.65702455,-40.07399038,0.22,14.824635,0.86
-71.65709544,-40.07401999,0.21,15.52887,0.83
-71.65715471,-40.07404475,0.22,13.411114,0.86
-71.65721242,-40.07406886,0.21,13.408493,0.83
-71.65726612,-40.0740913,0.18,13.417933,0.72
-71.65732604,-40.07411633,0.22,13.410362,0.86
-71.6573787,-40.07413833,0.25,13.410626,0.97
-71.65744558,-40.07416626,0.3,15.524185,1.15
-71.65751456,-40.07419504,0.33,14.82476,1.26
-71.65757683,-40.07422098,0.3,15.520911,1.15
-71.65764902,-40.07425104,0.33,14.814244,1.26
-71.65769913,-40.07427188,0.33,13.402541,1.26
-71.65776224,-40.07429809,0.28,14.106527,1.08
-71.65782399,-40.0743237,0.28,14.108639,1.08
-71.65788532,-40.0743491,0.24,14.116836,0.94
-71.65794748,-40.07437479,0.23,14.106598,0.9
-71.65801112,-40.07440104,0.27,14.801227,1.04
-71.65808142,-40.07442999,0.27,15.507981,1.04
-71.65814241,-40.07445505,0.27,13.393248,1.04
-71.65819117,-40.07447505,0.28,12.691424,1.08
-71.65824989,-40.07449909,0.29,14.104983,1.12
-71.65832038,-40.07452791,0.3,14.108522,1.15
-71.65837678,-40.07455092,0.24,13.404108,0.94
-71.65843162,-40.07457325,0.21,13.409946,0.83
-71.65849448,-40.07459882,0.23,14.116256,0.9
